50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f90a542b-0263-43c1-a998-6829a6d569af,1,,,7532,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5528, 'name': 'Pedro David Gallese Quiróz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5521, 'name': 'Luis Jan Piers Advíncula Castrillón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 5530, 'name': 'Christian Guillermo Martín Ramos Garagay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5532, 'name': 'Alberto Junior Rodríguez Valdelomar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5518, 'name': 'Miguel Ángel Trauco Saavedra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5523, 'name': 'Renato Fabrizio Tapia Cortijo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5529, 'name': 'Víctor Yoshimar Yotún Flores'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3632, 'name': 'André Martín Carrillo Díaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 5519, 'name': 'Christian Alberto Cueva Bravo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5525, 'name': 'Édison Michael Flores Peralta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 5531, 'name': 'Jefferson Agustín Farfán Guadalupe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Peru,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,30c5596e-5341-47a9-a419-5e09fd836b4c,2,,,7532,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4763, 'name': 'Henrik Dalsgaard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 5534, 'name': 'Simon Thorup Kjær'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5524, 'name': 'Jens Stryger Larsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5517, 'name': 'William Vitved Kvist Jørgensen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5536, 'name': 'Yussuf Yurary Poulsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5522, 'name': 'Nicolai Jørgensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Denmark,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7ea5b50d-8fef-4017-9072-a823807d029c,3,,,7532,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,['677e5c3c-ae92-46fd-a887-3296b998012b'],0,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,677e5c3c-ae92-46fd-a887-3296b998012b,4,,,7532,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Peru,784,['7ea5b50d-8fef-4017-9072-a823807d029c'],0,,,,,,,,,,,,,,,Peru,00:00:00.000,Half Start,
,,,,,,,,,,,,9.453,,,,,,,,,,,,,,,e5d9b96e-56b0-4675-9a13-63d24ceca837,1545,,,7532,45,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Peru,784,['0bea6a58-9a0b-4358-a548-a8351167d6fb'],0,,,,,,,,,,,,,,,Denmark,00:00:00.000,Half Start,
,,,,,,,,,,,,7.613,,,,,,,,,,,,,,,0bea6a58-9a0b-4358-a548-a8351167d6fb,1546,,,7532,45,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Peru,784,['e5d9b96e-56b0-4675-9a13-63d24ceca837'],0,,,,,,,,,,,,,,,Peru,00:00:00.000,Half Start,
,,,,,,,,,,,,1.133,,,,,,,,,,,,,,,ec763ef0-0ef0-431d-b66f-e50b0ab8fbb7,5,,"[61.0, 41.0]",7532,0,,-2.8049178,,,Right Foot,,,,"[41.0, 34.0]",,Ground Pass,21.189621,,,Andreas Christensen,,,Kick Off,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,2,Denmark,776,['0f6f92b0-6e82-42b3-9360-e9ffe170655e'],0,,,,,,,,,,,,,,,Denmark,00:00:00.560,Pass,
,,,,,,,,,,,,6.186,,,,,,,,,,,,,,,2c3ebaff-1219-4382-b081-e8b52f648595,9,,"[41.0, 37.0]",7532,0,,0.5774396,,,Right Foot,,,,"[107.0, 80.0]",,High Pass,78.77182,,Out,Yussuf Yurary Poulsen,,True,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['0eac611a-4ef6-4f0e-a3c4-7cb05f9865e9'],2,,,,,,,,,,,,,,,Denmark,00:00:02.893,Pass,
,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,fe518cf5-8b06-484b-a265-ed55160618c5,11,,"[18.0, 1.0]",7532,0,,0.28605145,,,,,,,"[35.0, 6.0]",,High Pass,17.720045,,,Víctor Yoshimar Yotún Flores,,,Throw-in,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,3,Peru,784,['3b50dbbd-b8f8-4a3b-9c0a-170061971d19'],11,,,,,,,,,,,,,,,Peru,00:00:11.400,Pass,
,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,efa1dec1-d21e-4463-b465-320271babaa3,13,,"[35.0, 6.0]",7532,0,,-0.9272952,,,Left Foot,,,,"[38.0, 2.0]",,Ground Pass,5.0,,,Édison Michael Flores Peralta,,,,1,From Throw In,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,3,Peru,784,['07a6c547-2474-46a2-b1bc-e1193eb63ca3'],12,,,,,,,,,,,,,,,Peru,00:00:12.800,Pass,
,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,ef3095ea-b3ea-4216-a831-af9b5f24dba1,16,,"[38.0, 2.0]",7532,0,,0.7853982,,,Left Foot,,,,"[42.0, 6.0]",,Ground Pass,5.656854,,,Víctor Yoshimar Yotún Flores,,,,1,From Throw In,Édison Michael Flores Peralta,5525.0,Left Wing,3,Peru,784,"['51188d9e-d5db-4bf0-9f01-5ab58012290a', '56291693-c3ea-4b48-a97d-ed786e0bb844']",13,,,,,,,,,,,,,,,Peru,00:00:13.480,Pass,True
,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,9c7e828e-9f48-4827-963d-a55f6dc6a1ee,19,,"[47.0, 4.0]",7532,0,,-0.09065989,,,Left Foot,,,,"[58.0, 3.0]",,Ground Pass,11.045361,,,Jefferson Agustín Farfán Guadalupe,,,,1,From Throw In,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,3,Peru,784,['bab60d74-e575-4060-bbd2-a3105dcedb2b'],15,,,,,,,,,,,,,,,Peru,00:00:15.240,Pass,
,,,,,,,,,,,,0.413,,,,,,,,,,,,,,,57aa9e66-67b6-4a87-9376-1206d0b340a2,22,,"[59.0, 3.0]",7532,0,,0.19739556,,True,Right Foot,,,,"[64.0, 4.0]",,Ground Pass,5.0990195,,Incomplete,Christian Alberto Cueva Bravo,,,,1,From Throw In,Jefferson Agustín Farfán Guadalupe,5531.0,Center Forward,3,Peru,784,"['29db6a6d-5ac1-4f08-9428-6ac98d9d2eda', 'b9f7d53d-2a0d-4f7e-b4f6-977cca412e46']",16,,,,,,,,,,,,,,,Peru,00:00:16.320,Pass,
,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,796b1050-0f32-43c5-9be7-c0d7cd517d13,26,,"[59.0, 74.0]",7532,0,,0.23109066,,,Right Foot,,,,"[76.0, 78.0]",,Low Pass,17.464249,,Incomplete,Nicolai Jørgensen,,,Recovery,1,From Throw In,William Vitved Kvist Jørgensen,5517.0,Right Center Midfield,3,Peru,784,"['4c1982bb-fceb-4afa-bf41-97a37c100ea5', 'f812b372-9df1-4680-9b41-40d60147c9a8']",17,,,,,,,,,,,,,,,Denmark,00:00:17.760,Pass,
,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,5b0b9d1c-b2df-4339-b9ef-deece4b8f241,30,,"[46.0, 3.0]",7532,0,,0.32175055,,,Left Foot,,,,"[55.0, 6.0]",,Ground Pass,9.486833,,,Víctor Yoshimar Yotún Flores,,,,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,3,Peru,784,['14750fba-1853-4061-b641-55f9a8e8ef9f'],19,,,,,,,,,,,,,,,Peru,00:00:19.800,Pass,
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,f3feac4b-11d3-4fad-812d-1fdcc3556519,33,,"[62.0, 7.0]",7532,0,,-2.9669204,,,Left Foot,,,,"[45.0, 4.0]",,Low Pass,17.262676,,,Miguel Ángel Trauco Saavedra,,,,1,From Throw In,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,3,Peru,784,['82776ddc-bf25-4aab-8984-7642c71f1b73'],20,,,,,,,,,,,,,,,Peru,00:00:20.400,Pass,
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1c8b7f53-e6c9-457d-bdaf-fab47a1f63fb,36,,"[55.0, 3.0]",7532,0,,0.1798535,,,Left Foot,,,,"[66.0, 5.0]",,High Pass,11.18034,,,Jefferson Agustín Farfán Guadalupe,,,,1,From Throw In,Miguel Ángel Trauco Saavedra,5518.0,Left Back,3,Peru,784,['60ed58f4-c3a5-4a73-9bb3-25aa3eedd91c'],21,,,,,,,,,,,,,,,Peru,00:00:21.960,Pass,
,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,36339219-28c8-463a-aca3-8e517632132d,39,,"[71.0, 5.0]",7532,0,,-1.2490457,,,Right Foot,,,,"[72.0, 2.0]",,Ground Pass,3.1622777,,,Édison Michael Flores Peralta,,,,1,From Throw In,Jefferson Agustín Farfán Guadalupe,5531.0,Center Forward,3,Peru,784,['bd9588f8-55d1-4e77-b417-132dc0d2b365'],24,,,,,,,,,,,,,,,Peru,00:00:24.240,Pass,
,,,,,,,,,,,,2.519,,,,,,,,,,,,,,,d8244f15-271e-44b1-b0a8-8db637491ddd,45,,"[50.0, 80.0]",7532,0,,-2.0812848,,,,,,,"[36.0, 55.0]",,High Pass,28.653097,,,Andreas Christensen,,,Throw-in,1,From Throw In,Henrik Dalsgaard,4763.0,Right Back,5,Denmark,776,['2db82495-db41-4f3d-bc24-1dd32ab18a1a'],34,,,,,,,,,,,,,,,Denmark,00:00:34.453,Pass,
,,,,,,,,,,,,1.093,,,,,,,,,,,,,,,e64722a0-6de7-4d0e-bbba-75d25bf6c93c,49,,"[44.0, 39.0]",7532,0,,0.844154,,,Right Foot,,,,"[52.0, 48.0]",,Ground Pass,12.0415945,,,William Vitved Kvist Jørgensen,,,,1,From Throw In,Andreas Christensen,3959.0,Left Center Back,5,Denmark,776,"['0e0f8e72-bbbb-4978-aef2-73eb5a02cd56', '4c3b3c15-1dba-4948-8595-7f67c93015d3']",42,,,,,,,,,,,,,,,Denmark,00:00:42.840,Pass,True
,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,79f8e1a1-011c-4efa-9391-df4e922731d2,52,,"[53.0, 46.0]",7532,0,,-2.3561945,,,Right Foot,,,,"[44.0, 37.0]",,Ground Pass,12.727922,,,Andreas Christensen,,,,1,From Throw In,William Vitved Kvist Jørgensen,5517.0,Right Center Midfield,5,Denmark,776,['262350c9-fc3f-46d9-86a4-096220b86d49'],45,,,,,,,,,,,,,,,Denmark,00:00:45.013,Pass,
,,,,,,,,,,,,1.213,,,,,,,,,,,,,,,d8a31ba4-6937-4089-b101-d889c7fb9c92,56,,"[46.0, 35.0]",7532,0,,1.8313987,,,Right Foot,,,,"[38.0, 65.0]",,Ground Pass,31.04835,,,Simon Thorup Kjær,,,,1,From Throw In,Andreas Christensen,3959.0,Left Center Back,5,Denmark,776,['ed58b3b1-51d0-4ef1-aa0f-4daff1b5e3a9'],49,,,,,,,,,,,,,,,Denmark,00:00:49.280,Pass,
,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,9544f0e6-b877-4a85-a22c-8ad2db7b0006,60,,"[44.0, 76.0]",7532,0,,-0.38460472,,,Right Foot,,,,"[86.0, 59.0]",,High Pass,45.310043,,,Yussuf Yurary Poulsen,,,,1,From Throw In,Simon Thorup Kjær,5534.0,Right Center Back,5,Denmark,776,"['39cde0a3-a9ca-4176-af92-da834fec7d29', '86467e5e-52ea-49b8-a71a-ce6f408373ad']",53,,,,,,,,,,,,,,,Denmark,00:00:53.413,Pass,True
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,228c248e-9d9c-41e5-9b5f-2fe9205fc834,71,,"[73.0, 51.0]",7532,1,True,-0.7853982,,,,,,,"[74.0, 50.0]",,High Pass,1.4142135,,Incomplete,,,,Recovery,1,Regular Play,Thomas Delaney,5527.0,Left Center Midfield,6,Peru,784,"['25b417fb-7475-43a6-9f44-848ad7789b34', 'e8bfc033-a4d9-46e4-8617-4605cf0f99a7']",1,,,,,,,,,,,,,,,Denmark,00:01:01.080,Pass,True
,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,6808a340-57f3-41c5-8d97-75dce094f0e3,73,,"[52.0, 37.0]",7532,1,,1.6951513,,,Right Foot,,,,"[50.0, 53.0]",,Ground Pass,16.124516,,,Luis Jan Piers Advíncula Castrillón,,,Recovery,1,Regular Play,Christian Alberto Cueva Bravo,5519.0,Center Attacking Midfield,6,Peru,784,['81a4b0cf-ec56-4fd3-93bc-a5030c1e41ed'],3,,,,,,,,,,,,,,,Peru,00:01:03.600,Pass,
,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,131fcfd2-65b1-4d41-80fe-35abeed30b06,77,,"[54.0, 54.0]",7532,1,,-1.9513026,,,Right Foot,,,,"[52.0, 49.0]",,Ground Pass,5.3851647,,,Renato Fabrizio Tapia Cortijo,,,,1,Regular Play,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,6,Peru,784,['9bdfca4c-1a35-40a7-9d91-fc0f0fc6d679'],7,,,,,,,,,,,,,,,Peru,00:01:07.240,Pass,
,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,be5ea946-5b24-42d9-bde2-b7f5e1a01543,80,,"[52.0, 49.0]",7532,1,,1.7506498,,,Left Foot,,,,"[50.0, 60.0]",,Ground Pass,11.18034,,,Christian Alberto Cueva Bravo,,,,1,Regular Play,Renato Fabrizio Tapia Cortijo,5523.0,Right Center Midfield,6,Peru,784,['877321e3-17d3-4c34-bb8a-a21f282798bd'],8,,,,,,,,,,,,,,,Peru,00:01:08.320,Pass,
,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,f2d1d2f3-02f5-444e-8daa-dc656cafacdb,83,,"[48.0, 61.0]",7532,1,,-2.7291822,,,Left Foot,,,,"[32.0, 54.0]",,Ground Pass,17.464249,,,Christian Guillermo Martín Ramos Garagay,,,,1,Regular Play,Christian Alberto Cueva Bravo,5519.0,Center Attacking Midfield,6,Peru,784,['22fca2c8-4895-4ac0-a3ab-abad5c12f15d'],10,,,,,,,,,,,,,,,Peru,00:01:10.720,Pass,
,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,387394a6-69c5-43a5-993c-5cf9848c6779,86,,"[35.0, 50.0]",7532,1,,-1.4056476,,,Right Foot,,,,"[39.0, 26.0]",,Ground Pass,24.33105,,,Víctor Yoshimar Yotún Flores,,,,1,Regular Play,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,6,Peru,784,['7df2e65c-506e-4c25-9ddd-132fde4d7fd5'],13,,,,,,,,,,,,,,,Peru,00:01:13.600,Pass,
,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,54a33415-9f2b-4eab-9cea-c428ac491d41,90,,"[48.0, 10.0]",7532,1,,-0.66104317,,,Left Foot,,,,"[57.0, 3.0]",,Ground Pass,11.401754,,,Miguel Ángel Trauco Saavedra,,,,1,Regular Play,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,6,Peru,784,"['40c9c57b-8788-44ca-a373-a32ed81c0c04', '6ac6b1cd-21b7-42fe-b092-571833832629']",18,,,,,,,,,,,,,,,Peru,00:01:18.320,Pass,True
,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,d4a48764-ba8a-4474-82b7-c09a103d8db3,93,,"[58.0, 3.0]",7532,1,,2.863293,,,Left Foot,,,,"[37.0, 9.0]",,Ground Pass,21.84033,,,Alberto Junior Rodríguez Valdelomar,,,,1,Regular Play,Miguel Ángel Trauco Saavedra,5518.0,Left Back,6,Peru,784,['34b6f236-8375-4e63-b821-a35204781269'],21,,,,,,,,,,,,,,,Peru,00:01:21.080,Pass,
,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,800fcd66-5a47-48d3-9866-d2b59fcd5d8f,96,,"[37.0, 9.0]",7532,1,,0.4636476,,,Left Foot,,,,"[39.0, 10.0]",,Ground Pass,2.236068,,Incomplete,Miguel Ángel Trauco Saavedra,,,,1,Regular Play,Alberto Junior Rodríguez Valdelomar,5532.0,Left Center Back,6,Peru,784,"['40e35661-94b7-4c16-891c-972aef65fc1f', 'e4ead322-d17f-4874-b27a-86c7bc99cd7b']",23,,,,,,,,,,,,,,,Peru,00:01:23.840,Pass,
,,,,,,,,,,,,0.653,,,,,,,,,,,,,,,c863c3a7-a085-4b99-b24d-91d693a227a7,99,,"[38.0, 2.0]",7532,1,,0.71883,,,Left Foot,,,,"[46.0, 9.0]",,Ground Pass,10.630146,,,Víctor Yoshimar Yotún Flores,,,Recovery,1,Regular Play,Alberto Junior Rodríguez Valdelomar,5532.0,Left Center Back,6,Peru,784,['c481554c-c9b6-4d23-b28f-be8e1f5cb0d2'],26,,,,,,,,,,,,,,,Peru,00:01:26.120,Pass,
,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,8dc9e7ac-9796-46ec-9244-086233ef9ae4,102,,"[52.0, 8.0]",7532,1,,1.2753555,,,Left Foot,,,,"[73.0, 77.0]",,High Pass,72.12489,,,André Martín Carrillo Díaz,,True,,1,Regular Play,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,6,Peru,784,['ef5d9fef-e678-4d93-8f38-6068f68749a4'],28,,,,,,,,,,,,,,,Peru,00:01:28.200,Pass,
,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,11e27ac5-6e0f-485a-a600-f4f40a7ccefd,105,,"[97.0, 66.0]",7532,1,,-0.14189705,,,Right Foot,,,,"[104.0, 65.0]",,High Pass,7.071068,,Incomplete,,,,,1,Regular Play,André Martín Carrillo Díaz,3632.0,Right Wing,6,Peru,784,['ef29889f-c14f-40c8-89e8-e18ea76d53e2'],35,,,,,,,,,,,,,,,Peru,00:01:35.280,Pass,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,f3dde581-6b2d-4d04-a22e-662ddf72d9fe,109,,"[83.0, 71.0]",7532,1,,-1.4601392,,,Right Foot,,,,"[84.0, 62.0]",,Ground Pass,9.055386,,,André Martín Carrillo Díaz,,,,1,Regular Play,Luis Jan Piers Advíncula Castrillón,5521.0,Right Back,6,Peru,784,['1bc0199e-714d-4d1b-994b-705018af7da7'],40,,,,,,,,,,,,,,,Peru,00:01:40.360,Pass,
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,04b9366f-595a-4dea-a5fd-1e43d7a9363d,114,,"[82.0, 58.0]",7532,1,,2.9996955,,,Right Foot,,,,"[75.0, 59.0]",,Ground Pass,7.071068,,,Renato Fabrizio Tapia Cortijo,,,,1,Regular Play,André Martín Carrillo Díaz,3632.0,Right Wing,6,Peru,784,"['62eb8c6d-b5ae-48cd-86a2-eaaf51fa2055', 'c0e7f71a-2028-4e1d-bcd1-c785b1ef5fa1']",43,,,,,,,,,,,,,,,Peru,00:01:43.200,Pass,True
,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,5f0f4516-ba55-4127-83b9-bf6c4ddf6a74,117,,"[75.0, 59.0]",7532,1,,-1.5042281,,,Right Foot,,,,"[76.0, 44.0]",,Ground Pass,15.033297,,,Víctor Yoshimar Yotún Flores,,,,1,Regular Play,Renato Fabrizio Tapia Cortijo,5523.0,Right Center Midfield,6,Peru,784,['1b1df7e3-20e4-481a-b614-0328f1d9bb4e'],45,,,,,,,,,,,,,,,Peru,00:01:45.040,Pass,
,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,bc88dcfc-1959-404f-bd07-c07adf1ce146,120,,"[74.0, 41.0]",7532,1,,-1.0460006,,,Left Foot,,,,"[85.0, 22.0]",,Ground Pass,21.954498,,,Édison Michael Flores Peralta,,,,1,Regular Play,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,6,Peru,784,['ae244e98-4300-4330-9eb1-7faeaefff8cd'],46,,,,,,,,,,,,,,,Peru,00:01:46.800,Pass,
,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,8f3fca69-4626-48e6-8293-defad168683f,123,,"[85.0, 22.0]",7532,1,,-1.1722739,,,Left Foot,,,,"[93.0, 3.0]",,High Pass,20.615528,,,Miguel Ángel Trauco Saavedra,,,,1,Regular Play,Édison Michael Flores Peralta,5525.0,Left Wing,6,Peru,784,['8ce6008f-ba0f-4d6a-a3a4-3f82a21f2013'],48,,,,,,,,,,,,,,,Peru,00:01:48.720,Pass,
,,,,,,,,,,,,2.333,,,,,,,,,,,,,,,fce53154-5e2d-4ce8-968c-bd19116b5211,126,,"[101.0, 11.0]",7532,1,,1.19029,,,Left Foot,True,,,"[119.0, 56.0]",,High Pass,48.466484,,,Christian Alberto Cueva Bravo,,True,,1,Regular Play,Miguel Ángel Trauco Saavedra,5518.0,Left Back,6,Peru,784,['acade24a-18dc-4318-9870-c112794b09ee'],52,,,,,,,,,,,,,,,Peru,00:01:52.800,Pass,
,,,,,,,,,,,,1.827,,,,,,,,,,,,,,,208e466d-028f-4907-89dd-8f0766825385,128,,"[119.0, 56.0]",7532,1,,-1.7196863,,,Right Foot,True,,,"[116.0, 36.0]",,High Pass,20.22375,,Incomplete,Jefferson Agustín Farfán Guadalupe,,,,1,Regular Play,Christian Alberto Cueva Bravo,5519.0,Center Attacking Midfield,6,Peru,784,"['52651cf5-eac1-429a-afdf-c1b8a475fa5c', 'a9864eda-6c5b-4596-99a7-69ae49b607dc']",55,,,,,,,,,,,,,,,Peru,00:01:55.133,Pass,
,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,115adec8-075b-40ba-9a8d-e5aa2aea54ea,139,,"[42.0, 73.0]",7532,2,,-0.6913369,,,Right Foot,,,,"[71.0, 49.0]",,Ground Pass,37.64306,,,André Martín Carrillo Díaz,,,,1,Regular Play,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,7,Peru,784,['48605c3e-f9ec-4ae6-ae08-d1c773f612fd'],27,,,,,,,,,,,,,,,Peru,00:02:27.280,Pass,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,36aae18b-b605-486e-8a4a-3a1e730853be,141,,"[66.0, 55.0]",7532,2,,3.1415927,,,Right Foot,,,,"[62.0, 55.0]",,Low Pass,4.0,,,Renato Fabrizio Tapia Cortijo,,,,1,Regular Play,André Martín Carrillo Díaz,3632.0,Right Wing,7,Peru,784,['0476424c-7aaa-47ee-9e6f-9a86efab6a18'],28,,,,,,,,,,,,,,,Peru,00:02:28.440,Pass,
,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,02314795-3d07-4d39-9476-0c0d9e364237,143,,"[62.0, 55.0]",7532,2,,0.13255154,,,Right Foot,,,,"[77.0, 57.0]",,Ground Pass,15.132746,,,Christian Alberto Cueva Bravo,,,,1,Regular Play,Renato Fabrizio Tapia Cortijo,5523.0,Right Center Midfield,7,Peru,784,['3b1bb6c6-0d05-4123-b0fa-0d6bffc6452d'],29,,,,,,,,,,,,,,,Peru,00:02:29.240,Pass,
,,,,,,,,,,,,1.013,,,,,,,,,,,,,,,0c3a57b8-3fa2-49aa-83b4-11978b03d2bd,148,,"[45.0, 22.0]",7532,2,,-1.2120256,,,Left Foot,,,True,"[48.0, 14.0]",,Ground Pass,8.5440035,,,Pione Sisto Ifolo Emirmija,,,Recovery,1,Regular Play,Thomas Delaney,5527.0,Left Center Midfield,8,Denmark,776,['619d3919-32ef-4781-995e-59235b22a1ba'],31,,,,,,,,,,,,,,,Denmark,00:02:31.560,Pass,
,,,,,,,,,,,,1.293,,,,,,,,,,,,,,,58d3d844-c5f7-454c-acbc-1d2285194312,151,,"[48.0, 14.0]",7532,2,,2.4980915,,,Right Foot,,,,"[36.0, 23.0]",,Ground Pass,15.0,,,Jens Stryger Larsen,,,,1,Regular Play,Pione Sisto Ifolo Emirmija,5516.0,Left Wing,8,Denmark,776,['e29d41d7-d1d9-44dc-b6cf-1003b719ef1c'],32,,,,,,,,,,,,,,,Denmark,00:02:32.720,Pass,
,,,,,,,,,,,,4.587,,,,,,,,,,,,,,,ce5b5abe-f4bb-4cf6-8e95-5db0062a40e0,154,,"[36.0, 23.0]",7532,2,,-0.06548002,,,Right Foot,,,,"[97.0, 19.0]",,High Pass,61.13101,,Incomplete,Nicolai Jørgensen,,,,1,Regular Play,Jens Stryger Larsen,5524.0,Left Back,8,Denmark,776,"['7c9872a5-166b-474d-a8e0-2d05a58ed1a4', 'd9b6d728-9df4-4ceb-badf-059d03d19a85']",34,,,,,,,,,,,,,,,Denmark,00:02:34.453,Pass,
